序号,机房,事项分类,事项,描述,操作步骤,负责人,支撑人员,状态,计划开始时间,计划结束时间,前置依赖,备注
1,A1,服务器IP配置,三台服务器，增加172网段地址,"三台设备IP及172网段的IP关系：
192.168.13.22 -> 172.20.19.22;
192.168.13.23 -> 172.20.19.23;
192.168.13.24 -> 172.20.19.24;","1、参照13.8、13.9的IP配置文件进行配置,/etc/netplan/50-cloud-init.yaml；
2、配置完成后，执行命令netplan apply；
3、验证测试，是否可以正常ping通：ping 192.168.13.6、172.20.31.11、192.168.23.232、192.168.80.1、172.20.91.21、172.20.51.21",@周超,,未开始,2025/8/17,2025/8/17,,
2,A1,CBP服务部署,DDoS-Web和规则中心,,"1、部署在192.168.13.22；
2、停止13.8上的相关服务；并启动13.22上服务，确保CBP业务系统可以访问；
3、修改DDoS检测设备和清洗设备配置，配置同网段的IP地址；
4、修改调度中心中任务的配置；",@沈涛,,未开始,2025/8/17,2025/8/18,三台服务器，增加172网段地址,"0、该服务需要访问全部机房
1、CBP服务部署，采用软件包和配置复制修改的方式；
2、更新环境列表；
3、下同"
3,A1,CBP服务部署,NF信息中心中涉及的5台Nginx部署,,"1、设备列表：13.18、13.19、13.22、13.23、13.24
2、调整Nginx中的代理配置；
3、停止原部署nginx；
4、NF设备上的CBP服务白名单IP配置调整",@沈涛,,未开始,2025/8/17,2025/8/18,,该服务需要访问全部机房
4,A1,CBP服务部署,网管系统,,"1、确认服务列表:deye-nms-web、deye-nms-monitor-load、deye-nms-monitor-remote、deye-nms-alarm；
2、部署在192.168.13.23；
3、停止13.9上的网管服务；
4、调整agent程序配置，指向新部署的服务；
5、Nginx和Nacos中的配置调整",@周超,@曹洋,未开始,2025/8/18,2025/8/18,0,该服务需要访问全部机房
5,A1,CBP服务部署,案件系统：dataload入库服务、nfsystem-web,,"1、部署在192.168.13.25；
2、停止13.8上dataload入库服务和NF系统;
3、启动13.25上新部署服务；
4、确认nginx修改配置",@周超,,未开始,2025/8/17,2025/8/17,,该服务需要访问全部机房的NF设备
6,A1,CBP服务部署,调度中心部署，包含执行器,,"1、部署在19.168.13.17；
2、停止13.6的调度，移植到13.17上。",@沈涛,,未开始,2025/8/18,2025/8/19,,13.6是全局时钟服务器及文件备份服务器、天基任务提交服务器，不搬迁
7,A1,CBP服务部署,公共服务：文件预览服务、维度服务、垃圾邮件识别-在线训练,,"1、部署在192.168.13.24，并启动；
2、停止13.10上的文件预览服务和维度服务；
3、停止部署在13.30上的垃圾邮件识别-在线训练；
3、调整相关服务访问地址，包括综合搜索、线索侦查、全息档案、群组挖掘、案件系统",@沈涛,,未开始,2025/8/19,2025/8/19,,"1、需要访问全局的OSS；
2、垃圾邮件识别在线训练，需要向全局的前置接入推动模型。"
8,A1,NFS挂载整理,业务系统中有包含NFS挂载，整理,,"1、13.7至13.17网段，使用df -h命令检查使用有NFS挂载
2、通过history命令查找mount挂载命令记录下来，history | grep mount | tail -5
3、登记到sheet《NFS挂载整理记录》",@周超,,已完成,2025/8/17,2025/8/17,,确认NFS挂载命令中的版本，如：mount -t nfs -o vers=3 192.168.13.10:/data1/ftpfile /data1/ftpfile
9,A1,数据库IP修改验证,Mysql,,"1、mysql与服务器IP无关，可以不停服修改服务器IP；
2、测试结果如右侧备注截图",@充艺渴,,已完成,2025/8/18,2025/8/18,,
10,A1,数据库IP修改验证,Oracle,,"1、oralce与服务器IP无关，可以不停服修改服务器IP；（ubuntu版本，与现场一致）
2、测试结果如右侧备注截图",@充艺渴,,已完成,2025/8/18,2025/8/18,,
11,A1,数据库IP修改验证,Redis,,,@张伟伟,,未开始,2025/8/18,2025/8/18,,
12,A1,数据库IP修改验证,NebulaGraph,,1.修改物理服务器IP前，需要先查看《NebulaGraph更换IP》手册进行关闭图库和备份，按文档流程实施，需要注意IP变更,@李建华,,未开始,2025/8/18,2025/8/20,,
13,A1,数据库IP修改验证,Doris,,,@黄文俊,@曹洋@袁海峰,进行中,2025/8/6,2025/8/18,,
14,A1,OSS访问代理方式验证,CBP业务系统的web服务涉及到OSS访问，统一部署到A2局点，采用Nginx代理方式解决B1和C1机房访问的问题,,,@李中华,,未开始,2025/8/18,2025/8/19,,
15,A1,配置批量修改,CBP业务系统的Nginx和前端配置中的IP批量修改,参照设备列表和服务列表进行IP替换，IP顺序安装从大到小进行替换，避免部分替换后引发的问题,,@沈涛,,未开始,2025/8/19,2025/8/19,,目标是实现脚本化批量执行，提升效率
16,A1,配置批量修改,Nacos中配置IP批量修改、CBP业务程序连接Nacos服务端的IP地址配置,由于IP发生变化，根据IP映射关系，修改Nacos配置的数据库连接IP、以及服务间调用的IP,,@曹洋,,进行中,2025/8/18,2025/8/19,,
17,A1,配置批量修改,53台设备IP批量修改,,,@周超,,未开始,2025/8/18,2025/8/19,,
18,A1,配置批量修改,调度中心任务IP修改,"1、目前任务配置中配置了服务IP信息；
2、基于IP映射关系表，能够实现批量修改",,@曹洋,,已完成,2025/8/21,2025/8/21,,
19,A1,脚本优化,CBP业务系统一键启停服务脚本优化,"1、基于最新的环境列表进行调整；
2、需要支持A1机房和A2机房的服务",,@曹洋,,进行中,2025/8/20,2025/8/20,CBP服务部署,
20,A1,CBP服务部署,CBP业务系统web端OSS访问采用代理方式,1、相关服务包括：案件web、搜索web、群组web、全息web,,@沈涛,@李中华,未开始,2025/8/20,2025/8/20,CBP业务系统的web服务涉及到OSS访问，统一部署到A2局点，采用Nginx代理方式解决B1和C1机房访问的问题,
21,A1,网管配置调整,CBP服务迁移部署后，网管服务监控调整,能够正常监控,,@周超,@曹洋,未开始,2025/8/19,2025/8/19,CBP服务部署,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
